snapshot_id,page,row,col,x,y,w,h,dark_ratio,figure_no_guess,file
317,82,3,2,385,592,587,597,0.230822,,diagram_snapshots/diagram_0317_p082_r3c2.png
318,83,1,1,34,220,870,952,0.101975,,diagram_snapshots/diagram_0318_p083_r1c1.png
319,84,1,1,62,184,322,78,0.104316,,diagram_snapshots/diagram_0319_p084_r1c1.png
320,84,1,2,396,184,579,78,0.141845,,diagram_snapshots/diagram_0320_p084_r1c2.png
321,84,2,1,62,274,322,312,0.169404,,diagram_snapshots/diagram_0321_p084_r2c1.png
322,84,2,2,396,274,579,312,0.155618,,diagram_snapshots/diagram_0322_p084_r2c2.png
323,84,3,1,62,598,322,254,0.228946,,diagram_snapshots/diagram_0323_p084_r3c1.png
324,84,3,2,396,598,579,254,0.245815,,diagram_snapshots/diagram_0324_p084_r3c2.png
325,84,4,1,62,864,322,324,0.194559,,diagram_snapshots/diagram_0325_p084_r4c1.png
326,84,4,2,396,864,579,324,0.304468,,diagram_snapshots/diagram_0326_p084_r4c2.png
327,85,1,1,32,202,881,959,0.126304,,diagram_snapshots/diagram_0327_p085_r1c1.png
328,86,1,1,71,186,315,78,0.069963,,diagram_snapshots/diagram_0328_p086_r1c1.png
329,86,1,2,398,186,255,78,0.134741,,diagram_snapshots/diagram_0329_p086_r1c2.png
330,86,1,3,665,186,309,78,0.061447,,diagram_snapshots/diagram_0330_p086_r1c3.png
331,86,2,1,71,276,315,128,0.060268,,diagram_snapshots/diagram_0331_p086_r2c1.png
332,86,2,2,398,276,255,128,0.029687,,diagram_snapshots/diagram_0332_p086_r2c2.png
333,86,2,3,665,276,309,128,0.045383,,diagram_snapshots/diagram_0333_p086_r2c3.png
334,86,3,1,71,416,315,164,0.111634,,diagram_snapshots/diagram_0334_p086_r3c1.png
335,86,3,2,398,416,255,164,0.140794,,diagram_snapshots/diagram_0335_p086_r3c2.png
336,86,3,3,665,416,309,164,0.1864,,diagram_snapshots/diagram_0336_p086_r3c3.png
337,86,5,1,71,639,315,207,0.15258,,diagram_snapshots/diagram_0337_p086_r5c1.png
338,86,5,2,398,639,255,207,0.188406,,diagram_snapshots/diagram_0338_p086_r5c2.png
339,86,5,3,665,639,309,207,0.262636,,diagram_snapshots/diagram_0339_p086_r5c3.png
340,86,6,1,71,858,315,330,0.258047,,diagram_snapshots/diagram_0340_p086_r6c1.png
341,86,6,2,398,858,255,330,0.272965,,diagram_snapshots/diagram_0341_p086_r6c2.png
342,86,6,3,665,858,309,330,0.243071,,diagram_snapshots/diagram_0342_p086_r6c3.png
343,87,1,1,22,222,870,71,0.04227,,diagram_snapshots/diagram_0343_p087_r1c1.png
344,87,2,1,22,305,870,869,0.130101,,diagram_snapshots/diagram_0344_p087_r2c1.png
345,88,1,1,64,200,314,75,0.143482,,diagram_snapshots/diagram_0345_p088_r1c1.png
346,88,1,2,390,200,251,75,0.173599,,diagram_snapshots/diagram_0346_p088_r1c2.png
347,88,1,3,653,200,312,75,0.078376,,diagram_snapshots/diagram_0347_p088_r1c3.png
348,88,2,1,64,287,314,312,0.264096,,diagram_snapshots/diagram_0348_p088_r2c1.png
349,88,2,2,390,287,251,312,0.165109,,diagram_snapshots/diagram_0349_p088_r2c2.png
350,88,2,3,653,287,312,312,0.139444,,diagram_snapshots/diagram_0350_p088_r2c3.png
351,88,3,1,64,611,314,243,0.274174,,diagram_snapshots/diagram_0351_p088_r3c1.png
352,88,3,2,390,611,251,243,0.13754,,diagram_snapshots/diagram_0352_p088_r3c2.png
353,88,3,3,653,611,312,243,0.318666,,diagram_snapshots/diagram_0353_p088_r3c3.png
354,88,4,1,64,866,314,327,0.216931,,diagram_snapshots/diagram_0354_p088_r4c1.png
355,88,4,2,390,866,251,327,0.149957,,diagram_snapshots/diagram_0355_p088_r4c2.png
356,88,4,3,653,866,312,327,0.287413,,diagram_snapshots/diagram_0356_p088_r4c3.png
357,89,1,1,24,225,879,962,0.076163,,diagram_snapshots/diagram_0357_p089_r1c1.png
358,90,1,1,64,198,324,75,0.096872,,diagram_snapshots/diagram_0358_p090_r1c1.png
359,90,1,2,400,198,251,75,0.166534,,diagram_snapshots/diagram_0359_p090_r1c2.png
360,90,1,3,663,198,299,75,0.064615,,diagram_snapshots/diagram_0360_p090_r1c3.png
361,90,2,1,64,285,324,307,0.145625,,diagram_snapshots/diagram_0361_p090_r2c1.png
362,90,2,2,400,285,251,307,0.149694,,diagram_snapshots/diagram_0362_p090_r2c2.png
363,90,2,3,663,285,299,307,0.174545,,diagram_snapshots/diagram_0363_p090_r2c3.png
364,90,3,1,64,604,324,256,0.262514,,diagram_snapshots/diagram_0364_p090_r3c1.png
365,90,3,2,400,604,251,256,0.127972,,diagram_snapshots/diagram_0365_p090_r3c2.png
366,90,3,3,663,604,299,256,0.156629,,diagram_snapshots/diagram_0366_p090_r3c3.png
367,90,4,1,64,872,324,322,0.194799,,diagram_snapshots/diagram_0367_p090_r4c1.png
368,90,4,2,400,872,251,322,0.273799,,diagram_snapshots/diagram_0368_p090_r4c2.png
369,90,4,3,663,872,299,322,0.210328,,diagram_snapshots/diagram_0369_p090_r4c3.png
370,91,1,1,13,215,882,71,0.037175,,diagram_snapshots/diagram_0370_p091_r1c1.png
371,91,2,1,13,298,882,883,0.127806,,diagram_snapshots/diagram_0371_p091_r2c1.png
372,92,1,1,54,187,317,79,0.08166,,diagram_snapshots/diagram_0372_p092_r1c1.png
373,92,1,2,383,187,575,79,0.105823,,diagram_snapshots/diagram_0373_p092_r1c2.png
374,92,2,1,54,278,317,312,0.133948,,diagram_snapshots/diagram_0374_p092_r2c1.png
375,92,2,2,383,278,575,312,0.095424,,diagram_snapshots/diagram_0375_p092_r2c2.png
376,92,3,1,54,602,317,250,0.213804,,diagram_snapshots/diagram_0376_p092_r3c1.png
377,92,3,2,383,602,575,250,0.167652,,diagram_snapshots/diagram_0377_p092_r3c2.png
378,92,4,1,54,864,317,318,0.197151,,diagram_snapshots/diagram_0378_p092_r4c1.png
379,92,4,2,383,864,575,318,0.240044,,diagram_snapshots/diagram_0379_p092_r4c2.png
380,93,1,1,31,207,891,73,0.050444,,diagram_snapshots/diagram_0380_p093_r1c1.png
381,93,2,1,31,292,891,893,0.161756,,diagram_snapshots/diagram_0381_p093_r2c1.png
